지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),평균 풍속(m/s),최다 풍향(16방위)
98,동두천,2020,11.8,-15.9,20201216,35.5,20200622,6.8,18,1017.2,1641.9,129.1,20200809,72.8,1.4,20
98,동두천,2021,12.1,-20.2,20210108,35.7,20210724,6.9,18.4,1017,1035.6,79.4,20210516,73.4,1.3,20
98,동두천,2022,11.5,-16.8,20221224,35.4,20220730,6.3,17.9,1016.9,1922.6,219.9,20220630,70.3,1.2,250
98,동두천,2023,12.5,-20.3,20230125,34.3,20230808,7.4,18.5,1016.6,1412.7,79.5,20230629,71.9,1.1,20
98,동두천,2024,13.2,-15.7,20240123,35.2,20240814,8.4,19.2,1016.5,1170.6,114.9,20240722,74,1.1,20
99,파주,2020,11.2,-17.4,20201216,34.4,20200622,5.8,17.3,1017.2,1612.3,143,20200809,76.2,1.4,50
99,파주,2021,11.5,-21.7,20210108,35.1,20210725,6.1,17.9,1017.1,1037.9,100,20210516,76.3,1.4,50
99,파주,2022,10.7,-18.8,20221224,34.2,20220730,5,17.1,1017.5,1730.5,199.1,20220630,75.8,1.3,50
99,파주,2023,11.7,-20.9,20230125,33.4,20230801,6.4,17.8,1017.3,1438,76,20230726,78,1.3,50
99,파주,2024,12.5,-15.1,20240123,35.4,20240814,7.3,18.6,1017.2,1472.6,385.7,20240717,78.3,1.3,70
108,서울,2020,13.2,-12.9,20201231,35.4,20200622,9.4,17.9,1016.5,1651.1,103.1,20200723,63.4,2.4,270
108,서울,2021,13.7,-18.6,20210108,36.5,20210724,9.6,18.5,1016.3,1186.5,77.4,20210831,65.7,2.3,50
108,서울,2022,13.2,-13.7,20221223,36.1,20220730,9.2,18,1016.3,1775.3,176.2,20220630,64.4,2.4,270
108,서울,2023,14.1,-17.3,20230125,35.8,20230808,10,18.7,1015.8,1598.8,91.6,20230713,66.8,2.3,50
108,서울,2024,14.9,-14,20240123,36.4,20240813,11,19.5,1015.7,1311.4,128.8,20240718,66,2.3,50
119,수원,2020,12.9,-12.6,20201231,34.9,20200825,8.5,18,1016.9,1635.5,134.2,20200809,75.9,2,270
119,수원,2021,13.4,-18.6,20210109,36.3,20210724,8.7,18.6,1016.8,1084.4,70.9,20210901,72,1.9,270
119,수원,2022,12.8,-14.6,20221219,35.2,20220730,8.1,18,1017.1,1864,285,20220630,68.5,1.9,270
119,수원,2023,13.3,-16.7,20230125,34.9,20230807,8.7,18.6,1016.6,1409.4,91.6,20230810,69.5,1.9,270
119,수원,2024,14.1,-13.1,20240123,35.7,20240804,9.7,19.2,1016.4,1378.2,151.9,20240718,70.1,1.9,290
202,양평,2020,12.5,-14.7,20201217,35,20200622,7.7,18.1,1017.3,1366.4,116.1,20200806,70.2,1.3,290
202,양평,2021,12.7,-20.3,20210109,34.9,20210727,7.9,18.3,1017.4,1018.9,72.2,20210301,71.9,1.3,290
202,양평,2022,12.2,-15.5,20221224,34.4,20220730,7.3,17.9,1017.7,2143.4,261.9,20220808,68.7,1.2,180
202,양평,2023,13.1,-17.7,20230125,34.9,20230805,8.2,18.6,1017.1,1538.4,114.5,20230714,69.4,1.2,180
202,양평,2024,13.9,-13.3,20240123,35.1,20240804,9.4,19.2,1016.6,1347.2,108,20240718,70.5,1.2,180
203,이천,2020,12.5,-15.5,20201231,34.8,20200825,7.3,18.4,1017.2,1668.8,143.2,20200802,72.5,1.2,290
203,이천,2021,12.7,-21.4,20210109,36,20210724,7.3,18.8,1017.1,1076.6,83.9,20210901,72.8,1.1,270
203,이천,2022,12.2,-17.8,20221224,34.7,20220729,6.6,18.4,1017.4,1537.3,141,20220713,70.7,1.1,270
203,이천,2023,13.1,-18.7,20230125,35.6,20230806,7.6,19.1,1017.3,1633.4,120.9,20230714,73.1,1,230
203,이천,2024,13.9,-13.4,20240123,36,20240619,8.8,19.7,1017.3,1706.7,180.9,20240718,74.8,1,230
